type,item_id,subitem_id
subitem,1311482245,1311482254
subitem,1311482245,1311482261
item,1311482266,
subitem,1311482266,1311482272
item,1311482276,
subitem,1311482276,1311482277
item,1311482280,
subitem,1311482280,1311482282
subitem,1311482280,1311482536
item,1311482541,
subitem,1311482541,1311482545
subitem,1311482541,1311482549
item,1311482552,
subitem,1311482552,1311482559
item,1311482562,
subitem,1311482562,1311482564
item,1311482569,
subitem,1311482569,1311482570
item,1311482575,
subitem,1311482575,1311482578
item,1311482580,
subitem,1311482580,1311482583
item,1311482585,
subitem,1311482585,1311482589
item,1311482592,
item,1311482593,
subitem,1311482593,1311482597
item,1311482598,
item,1311482600,
subitem,1311482600,1311482602
item,1311482604,
subitem,1311482604,1311482607
item,1311482614,
item,1311482617,
subitem,1311482617,1311482618
item,1311482622,
subitem,1311482622,1311482623
item,1311482627,
subitem,1311482627,1311482635
item,1311482640,
subitem,1311482640,1311482646
subitem,1311482640,1311482855
item,1311482861,
subitem,1311482861,1311482862
subitem,1311482861,1311482864
item,1311482869,
subitem,1311482869,1311482871
item,1311482875,
subitem,1311482875,1311482880
item,1311482885,
subitem,1311482885,1311482887
subitem,1311482885,1311482889
item,1311482906,
subitem,1311482906,1311482913
subitem,1311482906,1311482916
subitem,1311482906,1311482921
item,1311482925,
subitem,1311482925,1311482934
item,1311482943,
subitem,1311482943,1311482946
subitem,1311482943,1311482958
item,1311483018,
subitem,1311483018,1311483071
item,1311483098,
subitem,1311483098,1311483115
item,1311483155,
subitem,1311483155,1311483169
subitem,1311483155,1311483193
subitem,1311483155,1311483218
item,1311483226,
item,1311483228,
subitem,1311483228,1311483232
item,1311483244,
subitem,1311483244,1311483248
subitem,1311483244,1311483379
item,1311483384,
subitem,1311483384,1311483390
item,1311483396,
item,1311483399,
item,1311483401,
subitem,1311483401,1311483402
subitem,1311483401,1311483405
subitem,1311483401,1311483408
item,1311483410,
subitem,1311483410,1311483411
subitem,1311483410,1311483414
subitem,1311483410,1311483423
item,1311483429,
subitem,1311483429,1311483434
subitem,1311483429,1311483445
subitem,1311483429,1311483453
item,1311483461,
subitem,1311483461,1311483464
subitem,1311483461,1311483468
subitem,1311483461,1311483474
subitem,1311483461,1311483477
subitem,1311483461,1311483480
item,1311483484,
subitem,1311483484,1311483486
item,1311483488,
subitem,1311483488,1311483490
item,1311483492,
subitem,1311483492,1311483495
subitem,1311483492,1311483498
item,1311483500,
subitem,1311483500,1311483502
item,1311483512,
item,1311483623,
item,1311483626,
item,1311483629,
subitem,1311483629,1311483637
subitem,1311483629,1311483646
item,1311483651,
subitem,1311483651,1311483656
item,1311483672,
subitem,1311483672,1311483677
item,1311483683,
subitem,1311483683,1311483696
subitem,1311483683,1311483733
subitem,1311483683,1311483755
subitem,1311483683,1311483765
item,1311483780,
subitem,1311483780,1311483790
subitem,1311483780,1311483804
subitem,1311483780,1311483819
subitem,1311483780,1311483832
subitem,1311483780,1311483847
item,1311483861,
subitem,1311483861,1311483866
subitem,1311483861,1311483877
item,1311483883,
subitem,1311483883,1311483890
subitem,1311483883,1311483900
item,1311483907,
subitem,1311483907,1311483910
item,1311483916,
subitem,1311483916,1311483919
item,1311483927,
item,1311483931,
subitem,1311483931,1311483934
subitem,1311483931,1311484005
subitem,1311483931,1311484007
item,1311484011,
subitem,1311484011,1311484016
subitem,1311484011,1311484029
subitem,1311484011,1311484033
item,1311484039,
item,1311484040,
subitem,1311484040,1311484043
item,1311484054,
subitem,1311484054,1311484058
subitem,1311484054,1311484068
subitem,1311484054,1311484079
item,1311484080,
subitem,1311484080,1311484085
item,1311484100,
subitem,1311484100,1311484114
subitem,1311484100,1311484129
subitem,1311484100,1311484138
item,1311484150,
subitem,1311484150,1311484160
item,1311484169,
subitem,1311484169,1311484170
subitem,1311484169,1311484176
item,1311484186,
subitem,1311484186,1311484227
subitem,1311484186,1311484436
subitem,1311484186,1311484656
item,1311484851,
subitem,1311484851,1311484973
item,1311485159,
subitem,1311485159,1311485292
subitem,1311485159,1311485503
item,1311489189,
subitem,1311489189,1311489323
subitem,1311489189,1311489561
subitem,1311489189,1311489787
item,1311490013,
subitem,1311490013,1311490161
